Domain,Internal URL,Target url ,Anchor Text,Date Added,Last Checked,Status,Link Type,Notes
racelyn.com,http://racelyn.com/2011/11/managing-office-solutions-through.html,http://www.metrofax.com/,online faxing,11/30/11,11/30/11,Active,Content Marketing,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
