URL,PR,PAGE AUTH,DOMAIN AUTH,MOZRANK,EXT LINKS,Category
dana-farber.org,7,80.85,76.65,6.45,26231,Eric-Health
denverpost.com,7,91.7,89.79,6.34,87791,Eric-Health
dhs.wisconsin.gov,7,87.81,91.19,6.4,14041,Eric-Health
diabetes.org,7,93.12,91.77,7.04,128351,Eric-Health
dictionary.reference.com,7,94.34,93.27,6.86,267927,Eric-Health
discovery.ucl.ac.uk,7,70.14,92.86,5.44,520,Eric-Health
docstoc.com,7,87.47,84.51,5.99,17246,Eric-Health
doctor.webmd.com,7,67.82,94.6,5.49,566,Eric-Health
dreamhost.com,7,94.12,94.17,7.43,227903,Eric-Health
dreamstime.com,7,89.58,87.18,7.13,222318,Eric-Health
ebm.bmj.com,7,65.78,90.59,5.26,1399,Eric-Health
ehp.niehs.nih.gov,7,81.33,99.44,5.68,1677,Eric-Health
esl-lab.com,7,62.29,71.66,4.81,1045,Eric-Health
essentialbaby.com.au,7,69.53,64.43,6.68,418002,Eric-Health
europepmc.org,7,77.26,72.36,5.57,21691,Eric-Health
fairfaxcounty.gov,7,84.49,81.7,6.11,13774,Eric-Health
faqs.org,7,86.89,88.08,5.85,2988,Eric-Health
fedex.com,7,93.6,94.3,7.43,321679,Eric-Health
fns.usda.gov,7,88.94,96.9,6.44,11855,Eric-Health
foodallergy.org,7,85.65,82.38,6.5,41145,Eric-Health
gamasutra.com,7,88.46,85.73,6.58,142090,Eric-Health
gastro.org,7,79.74,75.38,6.25,14740,Eric-Health
gawker.com,7,92.98,91.69,6.83,912328,Eric-Health
gma.yahoo.com,7,82.53,100,5.63,23906,Eric-Health
gnc.com,7,78.52,77.37,6.11,33935,Eric-Health
gothamist.com,7,87.18,84.74,5.85,106740,Eric-Health
grad-schools.usnews.rankingsandreviews.com,7,72.39,88.07,5.16,110,Eric-Health
greengeeks.com,7,78.4,74.4,7.08,24217,Eric-Health
health.howstuffworks.com,7,81.93,91.44,6.21,1550,Eric-Health
health.ri.gov,7,81.98,87.43,5.73,13330,Eric-Health
health.usnews.com,7,87.63,93.79,6.48,21262,Eric-Health
healthaffairs.org,7,81.29,78.55,5.94,16686,Eric-Health
healthit.gov,7,85.61,83.76,6.4,24803,Eric-Health
healthline.com,7,87.13,84.74,6.85,86668,Eric-Health
hostgator.com,7,92.93,93.73,7.3,234058,Eric-Health
hupso.com,7,80.93,90.85,7.72,903,Eric-Health
ideas.repec.org,7,84.42,81.25,6.04,42545,Eric-Health
idsociety.org,7,77.96,73.88,5.96,8925,Eric-Health
implementationscience.com,7,59.69,51.47,5.03,315,Eric-Health
in.answers.yahoo.com,7,69.16,100,5.45,540,Eric-Health
inhabitat.com,7,87.82,85.45,6.4,223791,Eric-Health
inmotionhosting.com,7,88.42,86.76,7.62,161540,Eric-Health
io9.com,7,91.37,89.2,6.79,743808,Eric-Health
jamaica-gleaner.com,7,81.13,77.64,6.55,102332,Eric-Health
jcs.biologists.org,7,70.75,70.93,5.11,1290,Eric-Health
jointcommission.org,7,90.75,88.78,7.26,205170,Eric-Health
jp.physoc.org,7,68.54,62.54,5.37,1120,Eric-Health
kaiserhealthnews.org,7,87.1,84.78,7.12,95746,Eric-Health
kff.org,7,90.89,92.16,7.14,90340,Eric-Health
kidney.org,7,85.13,81.88,6.46,24968,Eric-Health
losangeles.cbslocal.com,7,86.38,89.88,5.96,6870,Eric-Health
m.facebook.com,7,87.76,100,6.22,80564,Eric-Health
macmillandictionary.com,7,74.26,68.84,6.48,66608,Eric-Health
macworld.com,7,91.69,89.61,6.55,328196,Eric-Health
marinecorpstimes.com,7,75.58,70.37,5.62,5538,Eric-Health
marketwatch.com,7,94.05,94.76,7.06,403877,Eric-Health
mayo.edu,7,88.74,88.02,6.48,16227,Eric-Health
mayoclinic.org,7,94.34,94.5,6.72,182793,Eric-Health
mercurynews.com,7,93.4,92.04,7,186698,Eric-Health
merlot.org,7,79.87,79.14,5.92,8847,Eric-Health
miamiherald.com,7,91.16,89.41,6.3,127940,Eric-Health
money.usnews.com,7,85.4,93.79,6.54,25731,Eric-Health
montrealgazette.com,7,87.99,86.81,6.32,231468,Eric-Health
mountsinai.org,7,80.96,76.86,6.61,19835,Eric-Health
msdn.microsoft.com,7,92.7,100,6.7,74201,Eric-Health
msn.foxsports.com,7,91.86,92.26,6.58,232194,Eric-Health
my.clevelandclinic.org,7,85.91,84.55,6.6,42274,Eric-Health
mysanantonio.com,7,87.2,84.5,6.15,33524,Eric-Health
nasdaq.com,7,94.77,94.32,6.76,125607,Eric-Health
ncsl.org,7,90.37,88.51,6.58,66223,Eric-Health
news24.com,7,84.16,80.63,6.44,106745,Eric-Health
newsday.com,7,91.79,89.92,6.38,151578,Eric-Health
newsobserver.com,7,87.13,84.18,6.06,34184,Eric-Health
newswire.ca,7,87,86.32,6.22,34232,Eric-Health
newyork.cbslocal.com,7,89.2,89.88,6.23,39421,Eric-Health
nexcess.net,7,78.77,75.29,6.67,73531,Eric-Health
nextgov.com,7,81.64,77.85,6.49,57796,Eric-Health
niemanlab.org,7,85.01,82.18,6.42,99467,Eric-Health
nj.com,7,90.91,90.5,6.39,38052,Eric-Health
nmnh.typepad.com,7,51.42,93.62,4.55,104,Eric-Health
nola.com,7,89.5,88.12,6.42,47445,Eric-Health
nolo.com,7,88.34,86.69,6.66,24769,Eric-Health
ny1.com,7,84.72,81.27,5.98,18078,Eric-Health
nzherald.co.nz,7,91.1,90.33,6.47,180062,Eric-Health
ohsu.edu,7,85.48,83.5,6.55,10291,Eric-Health
oregonlive.com,7,89.98,89.4,6.45,18125,Eric-Health
ottawasun.com,7,77.13,72.21,5.71,23018,Eric-Health
parenting.com,7,83.35,79.7,6.38,80776,Eric-Health
pawnation.com,7,80.5,76.23,6.44,110164,Eric-Health
pchrd.dost.gov.ph,7,58.02,69.32,5.06,895,Eric-Health
pcmag.com,7,93.22,91.64,6.99,164506,Eric-Health
philadelphia.cbslocal.com,7,86.35,89.88,5.95,9481,Eric-Health
phys.org,7,90.6,88.35,6.87,128800,Eric-Health
plosgenetics.org,7,80.44,76.21,5.83,20727,Eric-Health
plosntds.org,7,74.19,69.62,5.78,23832,Eric-Health
plospathogens.org,7,78.24,73.59,5.81,23160,Eric-Health
powells.com,7,91.37,89.3,6.52,90100,Eric-Health
prezi.com,7,92.87,91.24,7.01,129757,Eric-Health
prweb.com,7,93.72,93.79,7.29,111000,Eric-Health
psychologytoday.com,7,90.65,88.83,6.26,39966,Eric-Health
questia.com,7,87.43,84.55,6.67,76981,Eric-Health
rand.org,7,89.53,87.24,6.35,31446,Eric-Health
rd.com,7,86.61,83.54,6.93,38062,Eric-Health
readcube.com,7,65.81,58.73,5.19,4962,Eric-Health
reason.com,7,89.61,88.37,6.35,235429,Eric-Health
rodalenews.com,7,59.86,51.74,6.55,163350,Eric-Health
rsbl.royalsocietypublishing.org,7,75.1,76.17,4.97,1332,Eric-Health
rwjf.org,7,89.13,86.8,6.82,139551,Eric-Health
sacbee.com,7,91.04,89.23,6.22,74726,Eric-Health
sanfrancisco.cbslocal.com,7,86.04,89.88,5.88,4878,Eric-Health
science.kqed.org,7,45.85,86.33,3.16,16,Eric-Health
sciencebasedmedicine.org,7,77.06,72.14,5.98,82423,Eric-Health
scmp.com,7,88.71,86.22,6.44,134227,Eric-Health
scoop.co.nz,7,84.41,81.07,5.96,46551,Eric-Health
sexualhealth.com,7,64.49,57.2,6.39,2855,Eric-Health
sg.answers.yahoo.com,7,56.14,100,5.11,238,Eric-Health
sg.finance.yahoo.com,7,72.24,100,5.41,1002,Eric-Health
shopping.indiatimes.com,7,81.97,93.56,5.78,14043,Eric-Health
simplyhired.com,7,91.73,89.78,7.12,2246907,Eric-Health
sjsu.edu,7,86.08,82.9,6.28,19226,Eric-Health
sprc.org,7,79.17,74.75,6.1,6051,Eric-Health
springerplus.com,7,49.71,39.62,5.16,111,Eric-Health
startribune.com,7,91.54,91.26,6.47,57208,Eric-Health
stata.com,7,74.44,69.03,6.01,8016,Eric-Health
statcan.gc.ca,7,89.87,89.42,6.45,40960,Eric-Health
student.bmj.com,7,67.07,90.59,5.81,592,Eric-Health
sun-sentinel.com,7,91.82,90.08,6.47,326971,Eric-Health
superpages.com,7,91.52,89.55,7.01,80411,Eric-Health
taipeitimes.com,7,83.85,80.92,6.47,28116,Eric-Health
talkleft.com,7,76.09,70.99,6.04,273081,Eric-Health
techhive.com,7,81.31,77.4,5.97,34286,Eric-Health
techmeme.com,7,83.13,79.48,6.21,213469,Eric-Health
thebody.com,7,83.31,79.93,6.16,24226,Eric-Health
thechart.blogs.cnn.com,7,77.98,99.36,5.6,4720,Eric-Health
theguardian.com,7,96.12,98.7,7.27,674779,Eric-Health
thehill.com,7,91.35,90.72,6.49,214265,Eric-Health
theincidentaleconomist.com,7,66.72,61.49,5.62,31349,Eric-Health
thestar.com,7,92.73,92.03,7.07,392966,Eric-Health
theverge.com,7,92.09,93.89,6.69,152746,Eric-Health
timewarnercable.com,7,89.06,88.21,6.57,121056,Eric-Health
tmz.com,7,92.7,92.33,6.58,499298,Eric-Health
topix.com,7,87.27,84.5,5.9,43577,Eric-Health
topix.net,7,83.82,80.19,5.74,45592,Eric-Health
tricare.mil,7,86.55,84,6.61,22716,Eric-Health
uk.answers.yahoo.com,7,77.5,100,5.7,970,Eric-Health
uk.reuters.com,7,89.92,96.87,6.44,50677,Eric-Health
unh.edu,7,87.83,85.25,6.28,17878,Eric-Health
uno.edu,7,78.42,73.73,6.16,11693,Eric-Health
upclose.unimelb.edu.au,7,63.62,86.41,5.67,4728,Eric-Health
uptodate.com,7,84.45,84.12,6.35,26428,Eric-Health
usnews.rankingsandreviews.com,7,72.67,88.07,5.68,733,Eric-Health
uwmedicine.org,7,79.51,75.57,6.31,41645,Eric-Health
vancouversun.com,7,89.73,89,6.4,270603,Eric-Health
verdict.justia.com,7,68.87,82.92,6.19,1663,Eric-Health
villarenters.com,7,-1,-1,-1,-1,Eric-Health
voices.washingtonpost.com,7,77.05,97.73,4.82,428,Eric-Health
voices.yahoo.com,7,86.64,100,6,17779,Eric-Health
walmart.com,7,92.84,91.12,7.09,238064,Eric-Health
washingtonmonthly.com,7,86.13,83.14,6.29,305730,Eric-Health
washingtontimes.com,7,92.6,91.34,6.38,370390,Eric-Health
whmcs.com,7,91.69,89.54,8.15,476605,Eric-Health
wiki.answers.com,7,88.67,90.67,6.54,281874,Eric-Health
ww5.komen.org,7,91.08,89.59,6.82,160045,Eric-Health
www2.macleans.ca,7,84.13,80.9,6.29,44714,Eric-Health
www2.warwick.ac.uk,7,89.1,86.66,6.48,23749,Eric-Health
yeastgenome.org,7,71.72,65.76,5.53,19729,Eric-Health
yellowpages.com,7,93.12,91.65,7.16,555694,Eric-Health
yelp.com,7,95.03,94.39,7.01,365479,Eric-Health
yourlife.usatoday.com,7,69.2,96.12,4.62,76,Eric-Health
zeenews.india.com,7,84.12,80.64,6.18,44910,Eric-Health
zocdoc.com,7,87.38,84.43,6.81,140336,Eric-Health
100blackmen.org,6,0,0,0,0,Eric-Health
247wallst.com,6,84.07,80.56,6.18,97109,Eric-Health
3aw.com.au,6,65.24,58.07,5.9,32474,Eric-Health
3blmedia.com,6,67.72,61.03,7.66,2975,Eric-Health
4shared.com,6,91.76,89.71,6.59,62984,Eric-Health
680news.com,6,70.68,64.52,5.84,28328,Eric-Health
9news.com,6,86.16,83.06,5.98,11613,Eric-Health
a2hosting.com,6,76.38,74.52,6.36,20772,Eric-Health
aahanet.org,6,77.62,72.79,6.47,21408,Eric-Health
abbreviations.yourdictionary.com,6,48.43,84.41,5.96,15,Eric-Health
adc.bmj.com,6,72.64,90.59,5.3,1567,Eric-Health
advocacyblog.acponline.org,6,58.27,81.53,5.93,21425,Eric-Health
aht.seriouseats.com,6,74.57,84.55,5.81,18597,Eric-Health
aidsmap.com,6,74.64,69.39,6.47,17895,Eric-Health
aidsmeds.com,6,56.22,64.51,4.91,1065,Eric-Health
alaskadispatch.com,6,77.48,73.04,5.74,9838,Eric-Health
alegentcreighton.com,6,63.92,56.7,6.38,19196,Eric-Health
allaboutbirds.org,6,83.2,81.21,6.07,15535,Eric-Health
allkids.org,6,67.94,61.38,5.97,2718,Eric-Health
alportsyndrome.org,6,48.42,38.25,4.8,227,Eric-Health
americanpregnancy.org,6,78.49,75.31,6.66,9008,Eric-Health
amway.com,6,75.49,70.33,6.43,21604,Eric-Health
angelo.edu,6,74.02,68.53,6.07,58200,Eric-Health
angieslist.com,6,91.15,90.71,8.91,85815,Eric-Health
announcements.ebay.com,6,66.26,95.64,6.61,5738,Eric-Health
annsurgoncol.org,6,52.57,43.41,4.52,618,Eric-Health
answers.webmd.com,6,61.18,94.6,7,1356,Eric-Health
asbestos.com,6,83.47,80.77,6.58,26626,Eric-Health
ascls.org,6,71.91,65.99,5.91,6369,Eric-Health
asianscientist.com,6,54.9,45.84,5.7,546,Eric-Health
asmallorange.com,6,72.9,68.2,6.65,25504,Eric-Health
au.answers.yahoo.com,6,66.99,100,5.08,825,Eric-Health
austintexas.gov,6,72.67,76.91,5.4,882,Eric-Health
australianprescriber.com,6,65.82,58.74,6.19,11043,Eric-Health
authenticjobs.com,6,70.92,64.95,6.83,37674,Eric-Health
authorstream.com,6,80.73,76.85,6,9645,Eric-Health
babycenter.com,6,88.36,85.81,6.34,43848,Eric-Health
balloon-juice.com,6,73.74,68.17,5.98,229293,Eric-Health
baltimorecountymd.gov,6,76.75,71.85,5.94,6493,Eric-Health
bangordailynews.com,6,82.47,78.64,6.4,15989,Eric-Health
beatthegmat.com,6,57.14,49.09,6.01,8491,Eric-Health
beckershospitalreview.com,6,76.47,71.74,6.38,27981,Eric-Health
bellinghamherald.com,6,74.77,69.43,5.76,7985,Eric-Health
bidmc.org,6,71.96,66.05,6.34,10301,Eric-Health
bigstockphoto.com,6,79.74,75.33,6.95,14082,Eric-Health
bilerico.com,6,72.92,67.21,6.05,115755,Eric-Health
biosciencetechnology.com,6,66.87,59.99,6.3,35460,Eric-Health
bitdefender.com,6,84.99,84.02,6.77,21536,Eric-Health
blog.caranddriver.com,6,73.15,82.13,5.73,23937,Eric-Health
blog.dc.esri.com,6,39.49,90.86,4,39,Eric-Health
blog.intuit.com,6,72.16,87.64,6.55,6270,Eric-Health
blog.sfgate.com,6,76.93,93.31,5.18,381,Eric-Health
blogs.unity3d.com,6,70.63,89.77,6.67,12090,Eric-Health
blogs.webmd.com,6,52.05,94.6,4.24,19,Eric-Health
bossip.com,6,76.67,71.66,6.21,143402,Eric-Health
bradenton.com,6,82.47,78.56,6.1,18448,Eric-Health
bupa.com.au,6,69.19,62.99,6.57,17926,Eric-Health
business.inquirer.net,6,70.07,75.42,5.51,444,Eric-Health
campushealth.unc.edu,6,49.91,90.77,4.16,33,Eric-Health
cancer.net,6,82.43,78.62,6.34,23142,Eric-Health
cancer.osu.edu,6,68.17,89.04,5.27,1464,Eric-Health
cancer.unm.edu,6,59.67,85.43,5,218,Eric-Health
cancercenter.com,6,76.88,72.15,6.23,18730,Eric-Health
cancersupportcommunity.org,6,75.8,70.69,6.28,14966,Eric-Health
casereports.bmj.com,6,63.07,90.59,4.93,225,Eric-Health
cbn.com,6,83.97,81.08,6.24,15894,Eric-Health
ccceh.org,6,49.11,43.06,4.61,175,Eric-Health
celiac.com,6,77.27,72.92,6.5,24416,Eric-Health
celiac.org,6,78.56,75.83,6.3,27346,Eric-Health
celiaccentral.org,6,76.67,71.77,6.06,28049,Eric-Health
centredaily.com,6,78.56,73.91,5.29,7639,Eric-Health
ceup.psu.edu,6,49.38,91.98,4.64,11,Eric-Health
charlotteobserver.com,6,85.34,82.21,5.98,21903,Eric-Health
chatelaine.com,6,73.16,68.33,6.34,34700,Eric-Health
chej.org,6,68.85,65.24,6.15,3699,Eric-Health
chla.org,6,69.33,63.8,5.71,6295,Eric-Health
choc.org,6,68.48,61.96,5.98,4776,Eric-Health
chp.edu,6,71.22,66.33,5.84,3146,Eric-Health
cincinnatichildrens.org,6,78.13,75.4,6.32,7344,Eric-Health
cityofhope.org,6,78.18,73.71,6.39,4820,Eric-Health
clinmicro.asm.org,6,53.57,81.46,5.5,13077,Eric-Health
clma.org,6,59.28,50.96,5.92,3115,Eric-Health
commonhealth.wbur.org,6,73.73,84.96,5.75,11634,Eric-Health
community.runnersworld.com,6,64.83,84.65,6.23,2853,Eric-Health
comptia.org,6,82.41,80.82,6.58,18982,Eric-Health
coupons.answers.com,6,82.68,90.67,6.69,483581,Eric-Health
courierpress.com,6,74.1,69.2,5.63,4520,Eric-Health
covance.com,6,67.89,61.27,6.3,10547,Eric-Health
crowdsourcing.org,6,70.78,64.97,6.17,7720,Eric-Health
csaceliacs.info,6,73.86,68.33,6.13,12403,Eric-Health
csub.edu,6,75.96,70.81,6.16,1960,Eric-Health
curesearch.org,6,76.43,71.37,6.75,12822,Eric-Health
currentargus.com,6,65.67,58.57,5.54,13705,Eric-Health
customink.com,6,74.4,68.96,6.72,7037,Eric-Health
dailyherald.com,6,85.46,82.37,6.61,14085,Eric-Health
dailystrength.org,6,88.18,85.4,6.19,14602,Eric-Health
davenport.edu,6,71.46,65.46,5.68,4792,Eric-Health
deepdyve.com,6,69.12,62.66,5.62,1651,Eric-Health
dellchildrens.net,6,60.24,52.13,6.49,11256,Eric-Health
deltastate.edu,6,68.74,62.31,5.67,3989,Eric-Health
dictionary.reverso.net,6,68.09,70.52,5.77,2851,Eric-Health
directory.poz.com,6,59.63,67.59,5.72,17232,Eric-Health
doctoroz.com,6,86.45,83.48,6.58,39187,Eric-Health
drmcdougall.com,6,57.59,59.87,5.57,1106,Eric-Health
drugwatch.com,6,78.31,73.69,6.27,12473,Eric-Health
drweil.com,6,83,79.27,6.11,23275,Eric-Health
dummies.com,6,80.86,76.64,6.38,4884,Eric-Health
ecnmag.com,6,70.3,64.07,6.35,29060,Eric-Health
eetimes.com,6,88.09,86.24,6.38,98918,Eric-Health
ehow.com,6,92.87,92.06,7.36,89961,Eric-Health
einstein.yu.edu,6,76.86,76.46,5.95,6770,Eric-Health
en.bab.la,6,71.74,67.44,5.74,5351,Eric-Health
engemannshc.usc.edu,6,-1,-1,-1,-1,Eric-Health
eou.edu,6,70.26,64.05,5.56,2814,Eric-Health
esciencenews.com,6,72.81,67.2,5.57,3294,Eric-Health
facingourrisk.org,6,68.84,62.35,5.74,4850,Eric-Health
fiercehealthit.com,6,74.17,68.9,6.88,75836,Eric-Health
firstpost.com,6,77.86,73.1,5.78,9363,Eric-Health
fitpregnancy.com,6,71.97,66.13,6.37,81365,Eric-Health
fn.bmj.com,6,57.69,90.59,4.21,280,Eric-Health
foodsafetynews.com,6,78.02,73.78,5.93,30965,Eric-Health
fortmilltimes.com,6,67.31,60.51,5.29,10921,Eric-Health
forum.wordreference.com,6,70.66,83.44,5.9,677,Eric-Health
forums.comcast.com,6,63.45,90.57,6.11,1480,Eric-Health
forums.webmd.com,6,43.95,94.6,4.28,7,Eric-Health
fox21news.com,6,60.2,52.07,5.43,1306,Eric-Health
freerepublic.com,6,85.39,84.02,5.89,75312,Eric-Health
gaycenter.org,6,71.09,65.11,5.85,6233,Eric-Health
genomemedicine.com,6,62.31,54.88,5.43,902,Eric-Health
genomeweb.com,6,76.25,72.85,5.83,12923,Eric-Health
ghdonline.org,6,55.12,46.2,5.51,4717,Eric-Health
gi.org,6,78.12,74.04,6.2,10085,Eric-Health
glutenfreegirl.com,6,73.04,67.35,6.16,39501,Eric-Health
gmwgroup.harvard.edu,6,64.62,94.1,4.77,390,Eric-Health
gohealthinsurance.com,6,64.45,57.14,6.45,7801,Eric-Health
grainger.com,6,83.33,80.47,6.46,15862,Eric-Health
groupon.co.in,6,51.79,43.08,5.38,16746,Eric-Health
gumtree.com,6,83.96,80.35,6.57,19172,Eric-Health
harpersbazaar.com,6,84.37,80.85,6.16,37345,Eric-Health
harvardvanguard.org,6,55.02,45.93,5.77,1330,Eric-Health
hawaiinewsnow.com,6,76.59,71.62,6.09,5562,Eric-Health
healio.com,6,74.61,76.03,5.71,584,Eric-Health
health.harvard.edu,6,84.88,94.1,6.21,23734,Eric-Health
health.heraldtribune.com,6,59.3,81.49,5.44,454,Eric-Health
health24.com,6,70.83,64.92,5.87,48922,Eric-Health
healthandwellness.vanderbilt.edu,6,48.08,88.13,4.99,12,Eric-Health
healthcarefinancenews.com,6,72.71,66.94,5.96,62234,Eric-Health
healthcareitnews.com,6,81.39,79.72,6.13,26265,Eric-Health
healthcenter.ncsu.edu,6,-1,-1,-1,-1,Eric-Health
healthcentral.com,6,84.19,81,6.25,18284,Eric-Health
healthecareers.com,6,76.62,71.6,6.53,12473,Eric-Health
healthgate.com,6,46.74,62.96,4.52,21,Eric-Health
healthlaw.org,6,71.88,65.95,5.75,3688,Eric-Health
healthtalkonline.org,6,74.88,71.42,6.07,13897,Eric-Health
healthworkscollective.com,6,58.5,50.4,6.55,6259,Eric-Health
healthyeating.sfgate.com,6,60.86,93.31,5.75,132,Eric-Health
healthyliving.msn.com,6,78.45,97.41,6.24,56161,Eric-Health
healthywomen.org,6,77.59,72.79,6.56,16846,Eric-Health
help.123greetings.com,6,53.7,80.41,6.27,4148,Eric-Health
hepatitis.va.gov,6,72.6,96.07,5.74,832,Eric-Health
hepb.org,6,69.35,62.96,5.88,2930,Eric-Health
hepmag.com,6,48.5,41.58,5.97,45566,Eric-Health
hhnmag.com,6,74.73,70.18,6.39,24297,Eric-Health
highbeam.com,6,84,80.44,6.35,14955,Eric-Health
historyofvaccines.org,6,61.67,53.94,6.57,12922,Eric-Health
hiv.va.gov,6,66.57,96.07,5.72,241,Eric-Health
hoax-slayer.com,6,75.39,70.18,5.96,4238,Eric-Health
hollywoodlife.com,6,84.04,80.65,6.54,172430,Eric-Health
hopkinsguides.com,6,40.37,41.77,4.44,41,Eric-Health
hostmonster.com,6,89.84,87.67,7.04,189736,Eric-Health
hrweb.mit.edu,6,53.74,95.83,5.58,48,Eric-Health
hubpages.com,6,90.36,88.1,6.6,57199,Eric-Health
huffingtonpost.co.uk,6,90.62,88.74,6.59,655224,Eric-Health
icahn.mssm.edu,6,82.71,79.35,6.43,18684,Eric-Health
icr.ac.uk,6,74.12,68.68,6.31,4573,Eric-Health
idahostatejournal.com,6,61.43,53.82,5.08,2914,Eric-Health
idahostatesman.com,6,81.81,77.77,5.86,6969,Eric-Health
ijpeonline.com,6,41.47,29.8,4.94,484,Eric-Health
ijponline.net,6,43.84,32.63,4.67,87,Eric-Health
indwes.edu,6,77.29,72.48,5.99,14757,Eric-Health
infectagentscancer.com,6,46.2,35.45,4.77,122,Eric-Health
innovation.columbia.edu,6,37.47,93.34,4.37,1,Eric-Health
intermountainhealthcare.org,6,71.88,68.14,6.25,8521,Eric-Health
interspire.com,6,84.56,84.63,6.78,36266,Eric-Health
intertek.com,6,82.07,78.44,7.11,63688,Eric-Health
irishhealth.com,6,67.83,61.13,6.18,3584,Eric-Health
israel21c.org,6,72.79,68.29,5.99,19755,Eric-Health
issoonline.com,6,43.08,31.81,4.69,71,Eric-Health
iuhealth.net,6,13.88,39.64,0.87,1,Eric-Health
iuhealth.org,6,76.06,72.28,6.23,11323,Eric-Health
ivillage.com,6,88.6,87.66,6.47,88562,Eric-Health
jacksonville.com,6,86.75,83.75,6.12,21478,Eric-Health
japantoday.com,6,80.28,75.95,6.31,38303,Eric-Health
jeffersonhospital.org,6,68.78,62.27,5.76,12682,Eric-Health
jis.gov.jm,6,72.3,69.47,6.35,13727,Eric-Health
jobs2careers.com,6,59.22,50.89,6.07,5017,Eric-Health
johnshopkinshealthalerts.com,6,62.06,54.41,5.74,4995,Eric-Health
journalgazette.net,6,77.41,72.54,6.07,5607,Eric-Health
junkscience.com,6,75.88,72.52,5.98,109263,Eric-Health
k4health.org,6,67.17,60.64,6.24,19740,Eric-Health
kaahe.org,6,40.89,33.82,4.96,1890,Eric-Health
kaaltv.com,6,64.43,57.3,4.89,468,Eric-Health
kansas.com,6,84.93,81.49,6.15,26972,Eric-Health
kctv5.com,6,75.84,70.7,6.14,3374,Eric-Health
keywordspy.com,6,76.32,72.19,5.87,9300,Eric-Health
kgw.com,6,77.09,72.46,5.76,9793,Eric-Health
kidneycancer.org,6,68.44,62.37,5.81,4225,Eric-Health
kidneyfund.org,6,72.58,66.85,6.06,8196,Eric-Health
kidneynotes.com,6,44.51,33.39,4.87,1984,Eric-Health
kualo.com,6,54.92,46.5,5.74,1441,Eric-Health
laserfocusworld.com,6,73.03,69.73,6.33,32896,Eric-Health
lbbc.org,6,70.87,64.76,6.22,7472,Eric-Health
legalplans.com,6,55.06,46.03,6.27,1860,Eric-Health
liberalconspiracy.org,6,69.64,63.6,5.88,82906,Eric-Health
library.med.utah.edu,6,75.99,85.19,5.17,3938,Eric-Health
liveplan.com,6,64.45,57.16,6.64,9913,Eric-Health
livestrong.com,6,89,86.95,6.64,67055,Eric-Health
lpi.oregonstate.edu,6,76.86,89.23,6.08,2570,Eric-Health
lupus.org,6,81.29,77.54,6.48,13369,Eric-Health
macyfoundation.org,6,62.28,54.56,6.2,4453,Eric-Health
magazine.nursing.jhu.edu,6,56.86,91.46,4.96,405,Eric-Health
mahalo.com,6,81.11,77,5.88,19969,Eric-Health
manhattan.ny1.com,6,61.55,81.27,5.45,14,Eric-Health
manta.com,6,89.58,87.2,7.02,16782,Eric-Health
masslive.com,6,83.37,80.45,6.19,8117,Eric-Health
mdtmag.com,6,61.29,53.36,6.14,16812,Eric-Health
mediabistro.com,6,90.71,90.85,6.84,237752,Eric-Health
mediapost.com,6,88.34,85.9,6.06,58773,Eric-Health
medicalcenter.osu.edu,6,76.8,89.04,5.88,3861,Eric-Health
melanoma.org,6,71.4,65.97,6.14,9953,Eric-Health
members.jacksonville.com,6,63.91,83.75,5.39,3706,Eric-Health
mensfitness.com,6,80.46,76.19,6.37,72746,Eric-Health
mentalhealthscreening.org,6,75.82,70.97,6.06,2220,Eric-Health
mentalhelp.net,6,83.54,80.42,6.37,16856,Eric-Health
merckmanuals.com,6,84.22,84.54,6.65,55997,Eric-Health
militarytimes.com,6,80.31,77.55,5.75,4573,Eric-Health
mixcloud.com,6,89.68,90.68,6.43,51613,Eric-Health
modbee.com,6,79.54,75.07,5.7,14517,Eric-Health
modernhealthcare.com,6,82.98,79.22,6.12,42807,Eric-Health
money.msn.com,6,90.85,97.41,6.52,140131,Eric-Health
montgomerycollege.edu,6,72.91,67.8,5.66,4387,Eric-Health
motherearthnews.com,6,84.03,80.7,6.33,43675,Eric-Health
mpp.org,6,78.48,73.83,6.13,44523,Eric-Health
mskcc.org,6,84.26,81.51,6.69,62894,Eric-Health
mumsnet.com,6,78.39,74.64,5.93,13733,Eric-Health
muschealth.com,6,-1,-1,-1,-1,Eric-Health
mydr.com.au,6,63.35,55.82,5.6,2491,Eric-Health
myhosting.com,6,73.33,67.96,6.19,14702,Eric-Health
mysitemyway.com,6,77.76,75.61,6.9,46555,Eric-Health
nachc.com,6,74.08,68.58,6.3,5994,Eric-Health
nanowerk.com,6,74.94,69.79,5.89,8207,Eric-Health
nationalbreastcancer.org,6,79.97,75.82,6.37,26029,Eric-Health
nationalmssociety.org,6,86.9,86.4,6.43,18817,Eric-Health
naturalnews.com,6,89.79,88.26,6.69,114265,Eric-Health
naturalstandard.com,6,77.06,72.15,6.01,55822,Eric-Health
naturopathic.org,6,76.89,71.93,6.45,14915,Eric-Health
nchpeg.org,6,60.38,52.41,6.32,1084,Eric-Health
nerdfighters.ning.com,6,68.6,89.82,5.66,5692,Eric-Health
netmums.com,6,80.13,75.86,6.37,19438,Eric-Health
news.health.com,6,74.29,85.24,5.94,3197,Eric-Health
news.investors.com,6,77.16,84.47,5.42,477,Eric-Health
